action,domain,service,category,description,source,added
block,lsurl.me,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,p7nvu5it0k.execute-api.us-west-2.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,relay.school,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,block.tools,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,cipafilter.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,custodio.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,familyzone.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,familyzone.com.au,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,familyzone.io,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,familyzone.tools,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,fzbox.tools,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,home.tools,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,linewize.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,linewize.io,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,linewize.net,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,linewizereseller.net,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,net-ref.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qoria-api.cloud,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qoria.cloud,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qoria.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qoriaapis.cloud,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qustodio.app,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qustodio.com,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qustodio.es,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qustodio.net,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,qustodio.org,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,sphirewall.net,Linewize / Qoria / FamilyZone / Sphirewall,filtering,,,
block,managedmethods.com,ManagedMethods,filtering,,,
allow,pass.securly.com,Securly,filtering,Known patched/failsafe behavior; see README.,,
block,securly.com,Securly,filtering,Known patched/failsafe behavior; see README.,,
block,tabpilot.com,Securly,filtering,Known patched/failsafe behavior; see README.,,
block,smoothwall.cachefly.net,Smoothwall,filtering,,,
block,smoothwall.cloud,Smoothwall,filtering,,,
block,smoothwall.com,Smoothwall,filtering,,,
block,hitmanpro.com,Sophos,filtering,,,
block,sophos.com,Sophos,filtering,,,
block,sophosupd.com,Sophos,filtering,,,
block,sophosupd.net,Sophos,filtering,,,
block,sophosxl.com,Sophos,filtering,,,
block,sophosxl.net,Sophos,filtering,,,
block,zscaler.com,Zscaler,filtering,,,
block,zscalerone.net,Zscaler,filtering,,,
block,aristotlek12.com,AristotleK12,monitoring,,,
block,sgtlabs.com,AristotleK12,monitoring,,,
block,ativion.com,Ativion Software,monitoring,,,
block,ativionnx.com,Ativion Software,monitoring,,,
block,ck-express.com,Ativion Software,monitoring,,,
block,contentkeeper.com,Ativion Software,monitoring,,,
block,contentkeeper.io,Ativion Software,monitoring,,,
block,contentkeeper.net,Ativion Software,monitoring,,,
block,fastvue.co,Ativion Software,monitoring,,,
block,impero.com,Ativion Software,monitoring,,,
block,imperosoftware.co.uk,Ativion Software,monitoring,,,
block,imperosoftware.com,Ativion Software,monitoring,,,
block,netop.cn,Ativion Software,monitoring,,,
block,netop.com,Ativion Software,monitoring,,,
block,bark.app,Bark,monitoring,,,
block,bark.us,Bark,monitoring,,,
block,barkforschools.com,Bark,monitoring,,,
block,dyknow-data-prd.s3.amazonaws.com,DyKnow,monitoring,,,
block,dyknow.com,DyKnow,monitoring,,,
block,deepfreeze.com,Faronics,monitoring,,,
block,faronics.com,Faronics,monitoring,,,
block,faronicsdeploy.com,Faronics,monitoring,,,
block,gaggle.net,Gaggle,monitoring,,,
block,gaggle.services,Gaggle,monitoring,,,
block,beacon-report-uploads-prod.s3.us-west-2.amazonaws.com,GoGuardian,monitoring,Known patched/failsafe behavior; see README.,,
block,goguardian.com,GoGuardian,monitoring,Known patched/failsafe behavior; see README.,,
block,hosted-extensions.s3.us-west-2.amazonaws.com,GoGuardian,monitoring,Known patched/failsafe behavior; see README.,,
block,laptoplookout.com,GoGuardian,monitoring,Known patched/failsafe behavior; see README.,,
block,x3-report-uploads.s3.us-west-2.amazonaws.com,GoGuardian,monitoring,Known patched/failsafe behavior; see README.,,
block,hapara.com,Hapara,monitoring,,,
block,haparaview.appspot.com,Hapara,monitoring,,,
block,td-admin.appspot.com,Hapara,monitoring,,,
block,td-setup.appspot.com,Hapara,monitoring,,,
block,teacherdashboard.com,Hapara,monitoring,,,
block,lanschool.com,LanSchool (All Regions),monitoring,,,
block,lanschoolair.com,LanSchool (All Regions),monitoring,,,
block,lenovosoftware.com,LanSchool (All Regions),monitoring,,,
block,lsair.app,LanSchool (All Regions),monitoring,,,
block,learnsafe.com,LearnSafe,monitoring,,,
block,lgfl.net,LGFL / Senso,monitoring,,,
block,lgfl.org.uk,LGFL / Senso,monitoring,,,
block,netsweeper.com,LGFL / Senso,monitoring,,,
block,safehomeschool.net,LGFL / Senso,monitoring,,,
block,senso.cloud,LGFL / Senso,monitoring,,,
block,sensoeugeneral.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoeustorage.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologarchivestorage.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodau01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodeu01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodeu02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodeu03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodeu04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodeu05.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodna01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodna02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodna03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologcapturesprodna04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodau01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodeu01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodeu02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodeu03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodeu04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodeu05.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodna01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodna02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodna03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensologrulesetsprodna04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensomoduleprodeu.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensomoduleprodna.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodau01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodeu01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodeu02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodeu03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodeu04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodeu05.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodna01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodna02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodna03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensonotificprodna04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodstorprodeu02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodstorprodeu03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodstorprodeu04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodstorprodeu05.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodulestoreau01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodulestoreeu01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodulestorena01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodulestorena02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodulestorena03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoportmodulestorena04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodau01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodeu01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodeu02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodeu03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodeu04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodeu05.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodna01.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodna02.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodna03.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,sensoservicedeskprodna04.blob.core.windows.net,LGFL / Senso,monitoring,,,
block,netsupportdna.com,NetSupport,monitoring,,,
block,netsupportschool.com,NetSupport,monitoring,,,
block,netsupportsoftware.com,NetSupport,monitoring,,,
block,educatorimpact.com,Pulse (and related services: EducatorImpact),monitoring,,,
block,eipulse.zendesk.com,Pulse (and related services: EducatorImpact),monitoring,,,
block,accountable2you-android.firebaseio.com,Accountable2You,parental-control,,,
block,accountable2you.com,Accountable2You,parental-control,,,
block,meetcircle-blue.com,Circle,parental-control,,,
block,meetcircle-netgear.co,Circle,parental-control,,,
block,meetcircle-sky.co,Circle,parental-control,,,
block,meetcircle.com,Circle,parental-control,,,
block,clevguard.com,ClevGuard / KidsGuard,parental-control,,,
block,clevguard.org,ClevGuard / KidsGuard,parental-control,,,
block,eyezy.com,Eyezy,parental-control,,,
block,q12z.net,Eyezy,parental-control,,,
block,familyorbit.com,FamilyOrbit,parental-control,,,
block,familyorbit.net,FamilyOrbit,parental-control,,,
block,300624.com,FamiSafe,parental-control,,,
block,famisafe-b6807.firebaseio.com,FamiSafe,parental-control,,,
block,famisafe.com,FamiSafe,parental-control,,,
block,famisafe.wondershare.com,FamiSafe,parental-control,,,
block,famisafeapp.wondershare.com,FamiSafe,parental-control,,,
block,wondershare.cc,FamiSafe,parental-control,,,
block,findmychilds.org,Findmykids,parental-control,,,
block,findmykids.org,Findmykids,parental-control,,,
block,where-is-my-children.firebaseio.com,Findmykids,parental-control,,,
block,canopy.us,General Parental Control,parental-control,,,
block,contentwatch.com,General Parental Control,parental-control,,,
block,discovenger.com,General Parental Control,parental-control,,,
block,flexispy.com,General Parental Control,parental-control,,,
block,hoverwatch.com,General Parental Control,parental-control,,,
block,kiddoware.com,General Parental Control,parental-control,,,
block,kidgy.com,General Parental Control,parental-control,,,
block,kidlogger.net,General Parental Control,parental-control,,,
block,lockittight.com,General Parental Control,parental-control,,,
block,mmguardian.com,General Parental Control,parental-control,,,
block,mobicip.com,General Parental Control,parental-control,,,
block,mobileguardian.com,General Parental Control,parental-control,,,
block,netnanny.com,General Parental Control,parental-control,,,
block,ourpact.com,General Parental Control,parental-control,,,
block,safenet.family,General Parental Control,parental-control,,,
block,screentimelabs.com,General Parental Control,parental-control,,,
block,seekdroid.com,General Parental Control,parental-control,,,
block,spyhuman.com,General Parental Control,parental-control,,,
block,troomi.com,General Parental Control,parental-control,,,
block,truple.io,General Parental Control,parental-control,,,
block,umobix.com,General Parental Control,parental-control,,,
block,useboomerang.com,General Parental Control,parental-control,,,
block,webwatcher.com,General Parental Control,parental-control,,,
block,xnspy.com,General Parental Control,parental-control,,,
block,geozilla.autosmartins.com,Geozilla,parental-control,,,
block,geozilla.com,Geozilla,parental-control,,,
block,geozillafamily-c92d0.firebaseio.com,Geozilla,parental-control,,,
block,geozillafamily.firebaseio.com,Geozilla,parental-control,,,
block,kidsmanagement-pa.clients6.google.com,Google Family Link,parental-control,Conservative partial coverage to reduce overlap risk,,
block,kidsmanagement-pa.googleapis.com,Google Family Link,parental-control,Conservative partial coverage to reduce overlap risk,,
block,kdlparentalcontrol.com,Kidslox,parental-control,,,
block,kidslox.com,Kidslox,parental-control,,,
block,kidslox.firebaseio.com,Kidslox,parental-control,,,
block,kidslox.page.link,Kidslox,parental-control,,,
block,familysafetyproduction.com,Life360,parental-control,,,
block,jiobit.com,Life360,parental-control,,,
block,lf360.co,Life360,parental-control,,,
block,life360-com-l360safetycenter.firebaseio.com,Life360,parental-control,,,
block,life360-dev.tile-api.com,Life360,parental-control,,,
block,life360-img.s3.amazonaws.com,Life360,parental-control,,,
block,life360-location-dev.tile-api.com,Life360,parental-control,,,
block,life360-wordpress.s3.amazonaws.com,Life360,parental-control,,,
block,life360.atlassian.net,Life360,parental-control,,,
block,life360.com,Life360,parental-control,,,
block,life360.pubnub.com,Life360,parental-control,,,
block,life360feedback.typeform.com,Life360,parental-control,,,
block,family.microsoft.com,Microsoft Family Safety,parental-control,,,
block,mspy-app.co,mSpy,parental-control,,,
block,mspy.com,mSpy,parental-control,,,
block,mspyonline.com,mSpy,parental-control,,,
block,spyrix.com,Spyrix,parental-control,,,
block,spyrix.net,Spyrix,parental-control,,,
block,spyrix.pro,Spyrix,parental-control,,,
